Date,Open,High,Low,Close,Volume
2024-09-12,25059.65,25433.35,24941.45,25388.9,380069653
2024-09-13,25430.45,25430.5,25292.45,25356.5,250781898
2024-09-16,25406.65,25445.7,25336.2,25383.75,168694880
2024-09-17,25416.9,25441.65,25352.25,25418.55,215956868
2024-09-18,25402.4,25482.2,25285.55,25377.55,215727159
2024-09-19,25487.05,25611.95,25376.05,25415.8,314461263
2024-09-20,25525.95,25849.25,25426.6,25790.95,533067422
2024-09-23,25872.55,25956.0,25847.35,25939.05,209187756
2024-09-24,25921.45,26011.55,25886.85,25940.4,384115033
2024-09-25,25899.45,26032.8,25871.35,26004.15,278540972
2024-09-26,26005.4,26250.9,25998.4,26216.05,370895477
2024-09-27,26248.25,26277.35,26151.4,26178.95,490332370
2024-09-30,26061.3,26134.7,25794.1,25810.85,375370974
2024-10-01,25788.45,25907.6,25739.2,25796.9,247423786
2024-10-03,25452.85,25639.45,25230.3,25250.1,423395030
2024-10-04,25181.9,25485.05,24966.8,25014.6,374914801
2024-10-07,25084.1,25143.0,24694.35,24795.75,374345795
2024-10-08,24832.2,25044.0,24756.8,25013.15,333220055
2024-10-09,25065.8,25234.05,24947.7,24981.95,290562844
2024-10-10,25067.05,25134.05,24979.4,24998.45,261364749
2024-10-11,24985.3,25028.65,24920.05,24964.25,210462717
2024-10-14,25023.45,25159.75,25017.5,25127.95,206423311
2024-10-15,25186.3,25212.05,25008.15,25057.35,257228772
2024-10-16,25008.55,25093.4,24908.45,24971.3,226774456
2024-10-17,25027.4,25029.5,24728.9,24749.85,252755662
2024-10-18,24664.95,24886.2,24567.65,24854.05,290855392
2024-10-21,24956.15,24978.3,24679.6,24781.1,241978957
2024-10-22,24798.65,24882.0,24445.8,24472.1,279484697
2024-10-23,24378.15,24604.25,24378.1,24435.5,284556771
2024-10-24,24412.7,24480.65,24341.2,24399.4,216686434
2024-10-25,24418.05,24440.25,24073.9,24180.8,372642214
2024-10-28,24251.1,24492.6,24134.9,24339.15,278562235
2024-10-29,24328.85,24484.5,24140.85,24466.85,332044690
2024-10-30,24371.45,24498.2,24307.3,24340.85,285196335
2024-10-31,24349.85,24372.45,24172.6,24205.35,287007588
2024-11-01,24302.75,24368.25,24280.2,24304.35,38811387
2024-11-04,24315.75,24316.75,23816.15,23995.35,285531635
2024-11-05,23916.5,24229.05,23842.75,24213.3,289511197
2024-11-06,24308.75,24537.6,24204.05,24484.05,351082031
2024-11-07,24489.6,24503.35,24179.05,24199.35,322185588
